;;;117;;;;;;;125;;;;;;;119;;;;;;;;;;;;
monokrystaliczne;;;;;;;;polikrystaliczne;;;;;;;;amorficzne;;;;;;;;;;;;;
Tab 1.;n =;1;S = ;63;;;;Tab 2.;n =;8;S = ;7,8;;;;Tab 3.;n =;14;S = ;5,5;;;;;;;;;
;opór R;napi?cie U;nat??enie I;moc P;U/n;g?sto?? pr?du j;;;opór R;napi?cie U;nat??enie I;moc P;U/n;g?sto?? pr?du j;;;opór R;napi?cie U;nat??enie I;moc P;U/n;g?sto?? pr?du j;;ogniwo;P_max;nat??enie ?wiat?a;n;S;sprawno??
id;[?];(V);[mA];[mW];[V];[mA/cm^2];;id;[?];(V);[mA];[mW];[V];[mA/cm^2];;id;[?];(V);[mA];[mW];[V];[mA/cm^2];;;[mV];[W/m^2];;[cm^2];[%]
23;3,051740879;0,22;72,09;15,8598;0,22;1,144285714;;23;479,384004;1,93;4,026;7,77018;0,24125;0,516153846;;23;8486,73947;5,44;0,641;3,48704;0,388571429;0,116545455;;;;;;;
;;;;;;;;24;535,3375527;2,03;3,792;7,69776;0,25375;0,486153846;;24;7407,97546;4,83;0,652;3,14916;0,345;0,118545455;;;;;;;
;;;;;;;;25;586,1010327;2,1;3,583;7,5243;0,2625;0,459358974;;25;6450,151057;4,27;0,662;2,82674;0,305;0,120363636;;;;;;;
;;;;;;;;26;630,997383;2,17;3,439;7,46263;0,27125;0,440897436;;26;5522,38806;3,7;0,67;2,479;0,264285714;0,121818182;;;;;;;
;;;;;;;;27;724,4043786;2,25;3,106;6,9885;0,28125;0,398205128;;27;4128,843338;2,82;0,683;1,92606;0,201428571;0,124181818;;;;;;;
;opór R;napi?cie U;nat??enie I;moc P;U/n;g?sto?? pr?du j;;28;875,2817431;2,33;2,662;6,20246;0,29125;0,341282051;;28;2507,204611;1,74;0,694;1,20756;0,124285714;0,126181818;;;;;;;
id;[?];(V);[mA];[mW];[V];[mA/cm^2];;29;1145,395044;2,45;2,139;5,24055;0,30625;0,274230769;;29;1326,676177;0,93;0,701;0,65193;0,066428571;0,127454545;;;;;;;
16;6,081201932;0,34;55,91;0,0190094;0,34;0,887460317;;30;1676,5286;2,55;1,521;3,87855;0,31875;0,195;;30;367,2316384;0,26;0,708;0,18408;0,018571429;0,128727273;;;;;;;
17;5,989078739;0,34;56,77;0,0193018;0,34;0,901111111;;31;2003,10559;2,58;1,288;3,32304;0,3225;0,165128205;;31;14,08450704;0,01;0,71;0,0071;0,000714286;0,129090909;;;;;;;
18;5,511022044;0,33;59,88;0,0197604;0,33;0,95047619;;;;;;;;;;;;;;;;;;;;;;;
19;5,200715098;0,32;61,53;0,0196896;0,32;0,976666667;;;;;;;;;;;;;;;;;;;;;;;
20;4,66562986;0,3;64,3;0,01929;0,3;1,020634921;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;opór R;napi?cie U;nat??enie I;moc P;U/n;g?sto?? pr?du j;;;;;;;
;;;;;;;;;opór R;napi?cie U;nat??enie I;moc P;U/n;g?sto?? pr?du j;;id;[?];(V);[mA];[mW];[V];[mA/cm^2];;;;;;;
;;;;;;;;id;[?];(V);[mA];[mW];[V];[mA/cm^2];;11;11475,40984;7;0,61;4,27;0,5;0,110909091;;;;;;;
;;;;;;;;19;423,4527687;1,82;4,298;0,00782236;0,2275;0,551025641;;12;11333,33333;6,97;0,615;4,28655;0,497857143;0,111818182;;;;;;;
;;;;;;;;20;449,0088369;1,88;4,187;0,00787156;0,235;0,536794872;;13;11245,95469;6,95;0,618;4,2951;0,496428571;0,112363636;;;;;;;
;;;;;;;;21;449,2512479;1,89;4,207;0,00795123;0,23625;0,539358974;;14;11213,59223;6,93;0,618;4,28274;0,495;0,112363636;;;;;;;
;;;;;;;;22;454,2194597;1,9;4,183;0,0079477;0,2375;0,536282051;;15;11130,85622;6,89;0,619;4,26491;0,492142857;0,112545455;;;;;;;
;;;;;;;;23;479,384004;1,93;4,026;0,00777018;0,24125;0,516153846;;;;;;;;;;;;;;;
